source_file,line,link_text,target,issue_type,details,recommended_fix
docs/reports/analysis/aws_data_collection_review.md,324,docs/operations/aws_data_collection_improvements.md,../operations/aws_data_collection_improvements.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,25,live_demo_1_telemetry_baseline.py,../../scripts/demo/live_demo_1_telemetry_baseline.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,26,live_demo_cascade_failure.py,../../scripts/demo/live_demo_cascade_failure.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,27,live_demo_deployment_regression.py,../../scripts/demo/live_demo_deployment_regression.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,28,live_demo_localstack_aws.py,../../scripts/demo/live_demo_localstack_aws.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,29,live_demo_http_server.py,../../scripts/demo/live_demo_http_server.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,30,live_demo_http_optimizations.py,../../scripts/demo/live_demo_http_optimizations.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,31,live_demo_localstack_incident.py,../../scripts/demo/live_demo_localstack_incident.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,32,live_demo_ecs_multi_service.py,../../scripts/demo/live_demo_ecs_multi_service.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/live_demo_review_report.md,33,live_demo_cloudwatch_enrichment.py,../../scripts/demo/live_demo_cloudwatch_enrichment.py,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
